id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts20945,"The Three Stooges",SHOW,"The Three Stooges were an American vaudeville and comedy team active from 1922 until 1970, best known for their 190 short subject films by Columbia Pictures that have been regularly airing on television since 1958. Their hallmark was physical farce and slapstick. In films, the stooges were commonly known by their actual first names. There were a total of six stooges over the act's run (with only three active at any given time), but Moe Howard and Larry Fine were the mainstays throughout the ensemble's nearly fifty-year run.",1934,TV-PG,19,"['comedy', 'family', 'animation', 'action', 'fantasy', 'horror']",['US'],26.0,tt0850645,8.6,1092,15.424,7.6
tm19248,"The General",MOVIE,"During Americaâ€™s Civil War, Union spies steal engineer Johnnie Gray's beloved locomotive, 'The General'â€”with Johnnie's lady love aboard an attached boxcarâ€”and he single-handedly must do all in his power to both get The General back and to rescue Annabelle.",1926,,78,"['action', 'drama', 'war', 'western', 'comedy', 'european']",['US'],,tt0017925,8.2,89766,8.647,8
tm82253,"The Best Years of Our Lives",MOVIE,"It's the hope that sustains the spirit of every GI: the dream of the day when he will finally return home. For three WWII veterans, the day has arrived. But for each man, the dream is about to become a nightmare.",1946,,171,"['romance', 'war', 'drama']",['US'],,tt0036868,8.1,63026,8.435,7.8
tm83884,"His Girl Friday",MOVIE,"Hildy, the journalist former wife of newspaper editor Walter Burns, visits his office to inform him that she's engaged and will be getting remarried the next day. Walter can't let that happen and frames the fiancÃ©, Bruce Baldwin, for one thing after another, to keep him temporarily held in prison, while trying to steer Hildy into returning to her old job as his employee.",1940,,92,"['comedy', 'drama', 'romance']",['US'],,tt0032599,7.8,57835,11.27,7.4
tm56584,"In a Lonely Place",MOVIE,"An aspiring actress begins to suspect that her temperamental boyfriend is a murderer.",1950,,94,"['thriller', 'drama', 'romance']",['US'],,tt0042593,7.9,30924,8.273,7.6
tm160494,Stagecoach,MOVIE,"A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo, and learn something about each other in the process.",1939,,96,"['western', 'drama']",['US'],,tt0031971,7.8,48149,11.786,7.7
tm87233,"It's a Wonderful Life",MOVIE,"A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",1946,PG,130,"['drama', 'family', 'fantasy', 'romance', 'comedy']",['US'],,tt0038650,8.6,444243,26.495,8.3
tm19424,Detour,MOVIE,"The life of Al Roberts, a pianist in a New York nightclub, turns into a nightmare when he decides to hitchhike to Los Angeles to visit his girlfriend.",1945,,66,"['thriller', 'drama', 'crime']",['US'],,tt0037638,7.3,17233,7.757,7.2
tm112005,Marihuana,MOVIE,"A young girl named Burma attends a beach party with her boyfriend and after she smokes marijuana with a bunch of other girls, she gets pregnant and another girl drowns while skinny dipping in the ocean. Burma and her boyfriend go to work for the pusher in order to make money so they can get married. However, during a drug deal her boyfriend is killed leaving Burma to fend for herself. Burma then becomes a major narcotics pusher in her own right after giving up her baby for adoption.",1936,,57,"['crime', 'drama']",['US'],,tt0026683,4,864,3.748,3.6
tm22806,"Intolerance: Love's Struggle Throughout the Ages",MOVIE,"The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.",1916,,197,"['history', 'drama']",['US'],,tt0006864,7.7,15242,9.412,7.2
